,correlation_with_price
price,1.0
area,0.9913635210738266
bedrooms,0.047123168511532296
bathrooms,0.025625868999500243
parking,0.01549188123416245
hospital_nearby,0.013599764897725602
population_density,0.010538711173300155
garden,0.008735934573245943
garage,0.004505942278413696
floors,0.003135196897433418
security,0.0016592706622109736
school_nearby,-0.0004161446930814473
public_transport,-0.0010224868089486994
shopping_mall_nearby,-0.003412389762298866
crime_rate,-0.016964170253484477
distance,-0.028117621669096513
age,-0.05875734935939737
